Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Category,Product Name,Product ID,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Stock Left,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Payment Mode,Delivery Status
ORD1000,21-04-2024,23-04-2024,Randall Miller,CUST478,Home Office,Grocery,Milk,PROD1693,North,Indiana,South Edwardland,4,4295,5,16321,11148.22,5172.78,39,NO,0,Sullivan-Miller,pfisher@vasquez.com,UPI,Delivered
ORD1001,22-01-2026,25-01-2026,Ryan Yoder,CUST502,Consumer,Grocery,Milk,PROD3496,East,Idaho,Barnesland,4,3860,20,12352,9626.14,2725.86,32,NO,0,"Hodges, Scott and Bradford",april63@walsh.com,Cash,Delivered
ORD1002,17-10-2025,20-10-2025,Joanne Stanley,CUST757,Corporate,Furniture,Dining Table,PROD9197,South,Vermont,East Tinaside,5,227,10,1021.5,643.06,378.44,18,NO,0,Young-Shaffer,ehoward@meyer-smith.net,UPI,Returned
ORD1003,10-09-2024,17-09-2024,Kimberly Krueger,CUST864,Home Office,Electronics,Mouse,PROD8004,North,Tennessee,Hunterton,8,1749,5,13292.4,8800.14,4492.26,23,NO,0,"Edwards, James and Webb",johnsontricia@davis-taylor.biz,Cash,Delivered
ORD1004,04-08-2025,05-08-2025,James Gould,CUST958,Consumer,Electronics,Mouse,PROD3115,North,Massachusetts,Nathanchester,4,3495,15,11883,8425.36,3457.64,44,NO,0,Ford-Goodwin,murraychristopher@day.com,UPI,Pending
ORD1005,09-03-2025,15-03-2025,Vanessa Williams,CUST156,Home Office,Grocery,Fruits,PROD1306,West,Massachusetts,South Michaelmouth,3,1153,0,3459,2770.01,688.99,15,NO,0,Floyd-Rogers,christophermitchell@stephens.com,UPI,Returned
ORD1006,05-08-2024,06-08-2024,Taylor Hicks,CUST810,Corporate,Office Supplies,stapler,PROD6260,South,Washington,Stevensonberg,3,753,20,1807.2,1480.59,326.61,21,NO,0,Cannon LLC,stephencolon@joseph.org,Net Banking,Cancelled
ORD1007,04-04-2026,06-04-2026,Christopher Gray,CUST275,Corporate,Grocery,Bread,PROD1801,West,Wyoming,Smithchester,1,1908,5,1812.6,1360.01,452.59,19,NO,0,Howard and Sons,icooper@griffin-ward.com,Cash,Pending
ORD1008,15-12-2024,16-12-2024,Melissa Rose,CUST969,Home Office,Electronics,Keyboard,PROD8633,South,Oregon,East Davidshire,10,1635,15,13897.5,8818.43,5079.07,44,NO,0,"Fisher, Duncan and Wilson",vaughnkayla@johnston.com,UPI,Returned
ORD1009,09-08-2025,14-08-2025,Michael Fisher,CUST955,Corporate,Furniture,Book Shelf,PROD7217,West,South Carolina,Martineztown,1,3346,5,3178.7,2037.39,1141.31,22,NO,0,Choi-Reese,jcontreras@clark.com,UPI,Delivered
ORD1010,16-09-2025,22-09-2025,Melissa Weaver,CUST941,Consumer,Grocery,Bread,PROD4350,South,Georgia,Lake Travisberg,9,3383,20,24357.6,21288.95,3068.65,24,NO,0,"Leon, Davis and Caldwell",khanmaurice@garrett.com,Cash,Delivered
ORD1011,20-01-2026,22-01-2026,Vincent Parks,CUST729,Consumer,Electronics,Mouse,PROD1381,East,Oklahoma,Stephenton,5,4697,5,22310.75,16298.69,6012.06,24,NO,0,Reeves-Sanchez,ymatthews@durham.com,Net Banking,Pending
ORD1012,15-10-2025,21-10-2025,Margaret Mitchell,CUST259,Consumer,Office Supplies,File Folder,PROD9343,East,Kentucky,Rothberg,4,4104,15,13953.6,10031.9,3921.7,2,Yes,32,"Rice, Miller and Mathis",brandy42@pierce.com,Net Banking,Returned
ORD1013,28-01-2026,01-02-2026,Thomas Carlson,CUST548,Consumer,Furniture,Book Shelf,PROD5322,East,Connecticut,Lake Christopherbury,5,1355,5,6436.25,5188.7,1247.55,14,NO,0,"Anderson, Cruz and Brown",vmyers@morgan-porter.info,Net Banking,Delivered
ORD1014,03-07-2024,05-07-2024,Curtis Hurley,CUST739,Corporate,Grocery,Cheese,PROD4038,East,Connecticut,New Sherri,2,4486,10,8074.8,6683.88,1390.92,44,NO,0,Wood-Castaneda,brittneygraves@vazquez.com,Net Banking,Cancelled
ORD1015,11-01-2025,12-01-2025,Cheryl Deleon,CUST495,Home Office,Office Supplies,File Folder,PROD1920,South,New Mexico,North Victor,4,396,0,1584,1054.12,529.88,6,Yes,27,"Griffith, Gordon and Warren",channancy@brennan.com,UPI,Pending
ORD1016,11-05-2024,15-05-2024,Scott Stephens,CUST761,Home Office,Grocery,Eggs,PROD3243,South,Kentucky,Port Amandamouth,5,4411,15,18746.75,13195.47,5551.28,1,Yes,34,Mckay-Johnson,justin68@wang.biz,Cash,Returned
ORD1017,15-03-2025,20-03-2025,Matthew Ross,CUST147,Corporate,Electronics,Mouse,PROD6818,West,Nebraska,Amandashire,10,3515,10,31635,25771.29,5863.71,22,NO,0,Carroll-Henderson,victoria92@stanley.com,Net Banking,Pending
ORD1018,15-11-2025,19-11-2025,Ryan Roberts,CUST578,Consumer,Furniture,Sofa,PROD8836,East,West Virginia,West Phillip,6,4613,10,24910.2,16688.6,8221.6,21,NO,0,Reid Inc,josepholiver@blair.com,Credit Card,Cancelled
ORD1019,15-07-2025,21-07-2025,Lindsey Neal,CUST646,Home Office,Office Supplies,Notebook,PROD8155,East,Florida,Lake Vanessa,5,4413,15,18755.25,14615.04,4140.21,34,NO,0,Guzman Group,thomas58@foley.com,Credit Card,Returned
ORD1020,10-11-2024,16-11-2024,Chelsey Graham,CUST282,Home Office,Office Supplies,Pen,PROD2716,South,North Carolina,Michellefurt,2,2273,0,4546,3313.8,1232.2,49,NO,0,"Warner, Roth and Henson",roseaustin@brady.com,Net Banking,Returned
ORD1021,25-08-2024,30-08-2024,Mrs. Pamela Erickson,CUST812,Corporate,Grocery,Cheese,PROD7147,North,Nevada,Jordanside,4,2864,10,10310.4,9177.48,1132.92,11,NO,0,Romero-Robertson,terryrogers@reilly.com,UPI,Returned
ORD1022,05-08-2024,11-08-2024,Erin Flores,CUST762,Consumer,Office Supplies,File Folder,PROD2798,West,Colorado,Traceyfurt,3,1791,15,4567.05,3928.43,638.62,5,Yes,27,Wise-Davis,stevenanderson@thomas.com,Cash,Delivered
ORD1023,18-04-2025,21-04-2025,Adam Noble,CUST917,Consumer,Furniture,Study Table,PROD3303,South,Delaware,Petersberg,9,3140,5,26847,20531.21,6315.79,22,NO,0,Hendricks-Coleman,wrandolph@lewis.com,UPI,Pending
ORD1024,10-05-2025,12-05-2025,Anthony Ross,CUST180,Corporate,Furniture,Office Chair,PROD6834,North,Tennessee,East Jesseport,4,1330,15,4522,2806.23,1715.77,6,Yes,37,"Beard, Warner and Montgomery",fostermichelle@braun.com,Net Banking,Delivered
ORD1025,31-01-2025,04-02-2025,Christina Pollard,CUST169,Home Office,Office Supplies,Pen,PROD3478,West,Georgia,Smithport,3,418,0,1254,792.32,461.68,47,NO,0,Wilson-Johnson,laracurtis@simpson-thornton.biz,Credit Card,Cancelled
ORD1026,14-10-2025,21-10-2025,Christopher Hansen,CUST781,Consumer,Office Supplies,Notebook,PROD9281,North,Tennessee,West Gregory,2,4390,5,8341,5370.07,2970.93,45,NO,0,English-Kennedy,mlandry@johnson.org,UPI,Pending
ORD1027,17-12-2025,20-12-2025,Paul Bennett,CUST480,Home Office,Grocery,Milk,PROD1313,West,Mississippi,Lake Lindseyport,10,4215,10,37935,31906.77,6028.23,25,NO,0,Wilkinson LLC,mcbrideernest@santos-frazier.com,Net Banking,Delivered
ORD1028,02-02-2026,04-02-2026,Bryan Williams,CUST447,Consumer,Furniture,Study Table,PROD3509,West,Missouri,East Mikayla,10,864,10,7776,6511.49,1264.51,42,NO,0,Torres-Castillo,rsimmons@douglas.com,UPI,Returned
ORD1029,22-04-2024,23-04-2024,Anthony Valenzuela,CUST736,Consumer,Electronics,Mouse,PROD5856,West,Illinois,Ericfurt,2,2375,5,4512.5,3567.5,945,39,NO,0,Paul Group,kclements@wilson.com,Cash,Returned
ORD1030,18-09-2024,23-09-2024,Benjamin Villegas,CUST750,Home Office,Grocery,Eggs,PROD1101,South,Minnesota,Campbellmouth,9,2115,15,16179.75,13276.48,2903.27,37,NO,0,Gomez LLC,lawsonsusan@lopez-morris.com,UPI,Cancelled
ORD1031,01-01-2026,03-01-2026,James Hughes,CUST131,Corporate,Office Supplies,Pen,PROD1342,West,Montana,Michelleland,5,4785,5,22728.75,13736.38,8992.37,32,NO,0,Burnett and Sons,owhite@cruz.com,Credit Card,Cancelled
ORD1032,06-04-2026,08-04-2026,Adam Dennis,CUST240,Home Office,Furniture,Study Table,PROD3023,South,Arkansas,South Benjaminville,8,4098,10,29505.6,22384.06,7121.54,9,Yes,33,Franklin-Brown,thomaspacheco@garcia.com,UPI,Cancelled
ORD1033,20-12-2024,26-12-2024,James Harris,CUST898,Corporate,Office Supplies,File Folder,PROD6886,North,Alabama,Woodchester,5,166,10,747,606.72,140.28,1,Yes,22,Bradley-Green,cantrellanita@wright.net,Net Banking,Pending
ORD1034,24-02-2025,01-03-2025,Christine Mcpherson,CUST450,Consumer,Furniture,Study Table,PROD3862,East,Kentucky,North Steveville,4,4395,15,14943,12015.93,2927.07,39,NO,0,Gilbert PLC,kevinleon@holloway.com,Net Banking,Pending
ORD1035,27-06-2025,28-06-2025,Dennis Grant,CUST122,Corporate,Furniture,Study Table,PROD6115,West,Hawaii,East Michael,2,1030,20,1648,1376.7,271.3,22,NO,0,Baker-Elliott,rachel97@oneal-gonzales.com,Credit Card,Returned
ORD1036,22-05-2025,23-05-2025,Darren Cobb,CUST226,Corporate,Grocery,Bread,PROD4964,South,Connecticut,Andersonborough,2,3905,20,6248,4277.58,1970.42,22,NO,0,"Schultz, Carlson and Nguyen",ralph23@hall.com,Cash,Returned
ORD1037,26-11-2025,27-11-2025,Thomas Byrd,CUST460,Corporate,Furniture,Dining Table,PROD6392,South,Maryland,South Jessicatown,6,426,0,2556,2182.04,373.96,30,NO,0,"Henderson, Gilbert and Griffith",nicholsjennifer@washington.com,Credit Card,Returned
ORD1038,13-07-2025,16-07-2025,Christine Alexander,CUST664,Corporate,Electronics,Monitor,PROD4855,West,Connecticut,West Joseph,9,1196,10,9687.6,7819.62,1867.98,34,NO,0,Huerta Group,obrienpaula@harris-garcia.com,UPI,Pending
ORD1039,07-02-2025,12-02-2025,Carl Yoder,CUST745,Corporate,Grocery,Fruits,PROD7678,East,Pennsylvania,Lake Steventon,2,2397,10,4314.6,3021.29,1293.31,24,NO,0,Oconnell and Sons,garciabrett@hunt-harris.net,Cash,Returned
ORD1040,13-04-2024,15-04-2024,James Buckley,CUST175,Corporate,Grocery,Eggs,PROD8439,East,Idaho,Haasmouth,5,4644,20,18576,11564,7012,40,NO,0,Merritt LLC,terrychristina@delgado-dixon.biz,Cash,Delivered
ORD1041,04-04-2025,08-04-2025,Bridget Flores,CUST679,Consumer,Electronics,Keyboard,PROD5889,North,Idaho,Frederickmouth,1,2331,20,1864.8,1148.18,716.62,39,NO,0,Mcclain Inc,angela40@bailey.com,Net Banking,Delivered
